,Question
249,"
<p>Consider the following class definition:</p>
<pre lang=""text/x-java"">import java.util.Scanner; // 1

public class SillyClass2 { // 2
   private int num, totalRed, totalBlack; // 3
   public SillyClass2 () { // 4
      num = 0; // 5
      totalRed = 0; // 6
      totalBlack = 0; // 7
      this.spinWheel(); // 8
      System.out.print(""Black: "" + totalBlack); // 9
      System.out.println("" and red: "" + totalRed); // 10
   } // 11
</pre>
<p><br><code>&nbsp; &nbsp;public void spinWheel () { // 12</code></p>
<pre lang=""text/x-java"">      Scanner kbd = new Scanner(System.in); // 13
      System.out.println(""Enter 1 or 0, -1 to quit.""); // 14
      num = kbd.nextInt(); // 15
      while (num &gt;= 0) { // 16
         if (num == 0) // 17
            totalRed++; // 18
         else if (num == 1) // 19
            totalBlack++; // 20
         else System.out.println(""Try again""); // 21
         System.out.println(""Enter 1 or 0, -1 to quit).""); // 22
         num = kbd.nextInt(); // 23
      } // 24
      System.out.println(""Thanks for playing.""); // 25
   } // 26
} // 27
</pre>
<p>&nbsp;</p>
<p>Which sequence of inputs will cause line 21 to be executed?</p>
"
250,"
<p>Which method call is an efficient and correct way of calling methods compute_1 and compute_2 inside main method?</p>
<p>public class test {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public static void compute_1(){}</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public void compute_2(){}</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public static void main(String [] Args){}</p>
<p>}</p>
"
251,"
<p>What output will the following code fragment produce?</p>
<pre lang=""text/x-java"">public void fn()
{
    int grade = 91;
    int level = -3;
    if (grade &gt;= 90)
        if (level &lt;= -2)
            System.out.println(""A-level"");
    else
        System.out.println(""B-status"");
}
</pre>
"
252,"
<p>Suppose you&rsquo;re on a project that is writing a large program. One of the programmers is implementing a <code>Clock</code> class; the other programmers are writing classes that will use the <code>Clock</code> class. Which of the following aspects of the <code>public</code> methods of the <code>Clock</code> class do <strong>not</strong> need to be known by both the author of the <code>Clock</code> class and the programmers who are using the <code>Clock</code> class?</p>
"
253,"
<p>Consider these two Java methods:</p>
<pre lang=""text/x-java"">public void fuzzy(int x)
{
    x = 73;
    System.out.print(x + "" "");
}

public void bunny()
{
    int x = 29;
    fuzzy(x);
    System.out.println(x);
}
</pre>
<p>&nbsp;</p>
<p>What is printed when <code>bunny()</code> is called?</p>
"
254,"
<p>Given the following Java class declaration:</p>
<pre lang=""text/x-java"">public class T2int
{
    private int i;

    public T2int()
    {
        i = 0;
    }

    public T2int(int i)
    {
        this.i = i;
    }

    public int get()
    {
        return i;
    }
}
</pre>
<p>&nbsp;</p>
<p>The following method, called <code>rangeSum()</code>, is intended to take three parameters: a <code>List</code> of <code>T2int</code> objects, plus the <code>low</code> and <code>high</code> end of a range within the list. The method computes the sum of the values in the <code>List</code> that are <strong>within</strong> the ""range"" (but <strong>not including</strong> the range end values). Choose the best choice to fill in the blank on <strong>Line 5</strong> so that the method will work as intended:</p>
<pre lang=""text/x-java"">public int rangeSum(List&lt;T2int&gt; list, int low, int high)
{
    int num = 0;                                 // Line 1
    int sum = 0;                                 // Line 2

    for (int idx = 0; idx &lt; list.size(); idx++)  // Line 3
    {
        int ival = list.get(idx).get();          // Line 4
        if (__________)                          // Line 5
        {
            num++;                               // Line 6
            sum = __________;                    // Line 7
        }
    }
    return __________;                           // Line 8
}
</pre>
"
255,<p>What terminates a failed linear probe in a non-full hashtable?</p>
256,"<p>If a hashtable's array is resized to reduce collisions, what must be done to the elements that have already been inserted?</p>"
257,"
<p>Consider the code below; what value will p have at the end?</p>
<p><br><code>int *p, i;</code></p>
<pre lang=""text/x-c""> i = 2;
 p = &amp;i;
 *p = 5;
</pre>
<p><code> i++;</code></p>
<table border=""1""><tbody>
<tr>
<td>Variable name</td>
<td>Variable's address</td>
<td>Variable's value</td>
</tr>
<tr>
<td>p</td>
<td>0x0000123abc</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>i</td>
<td>0x567def0000</td>
<td>(withheld)</td>
</tr>
</tbody></table>"
258,"
<p>The following method, called <code>maxRow()</code>, is intended to take one parameter: a <code>List</code> where the elements are <code>List</code>s of <code>Integer</code> objects. You can think of this parameter as a matrix--a list of rows, where each row is a list of ""cells"" (plain integers). The method sums up the integers in each row (each inner list), and returns the index (row number) of the row with the largest row sum. Choose the best choice to fill in the blank on <strong>Line 7</strong>&nbsp;so that this method works as intended:</p>
<pre lang=""text/x-java"">public static int maxRow(List&lt;List&lt;Integer&gt;&gt; matrix)
{
    int maxVec = -1;                                // Line 1
    int maxSum = Integer.MIN_VALUE;                 // Line 2

    for (int row = 0; row &lt; __________; row++)      // Line 3
    {
        int sum = 0;                                // Line 4
        for (int col = 0; col &lt; __________; col++)  // Line 5
        {
            sum = sum + __________;                 // Line 6
        }
        if (___________)                            // Line 7
        {
            maxSum = __________;                    // Line 8
            maxVec = __________;                    // Line 9
        }
    }
    return maxVec;                                  // Line 10
}
</pre>
"
259,<p>Which sentence is NOT correct?</p>
260,<p>You see the expression <code>n = -15</code> in some code that successfully compiles. What type can <code>n</code> not be?</p>
261,"<p>After the assignment <code>signal = &rsquo;abracadabra&rsquo;</code>, what is returned by <code>signal[len(signal)]</code>?</p>"
262,<p>Which of the following sorting algorithms has a best-case time performance that is the same as its and worst-case time performance (in big O notation)?</p>
263,<p>What advantage does using dummy nodes in a linked list implementation offer?</p>
264,"
<p>How many asterisks will be printed as a result of executing this code?</p>
<p>int counter = 0, N = 10;</p>
<p>while (counter++ &lt; N){</p>
<p>&nbsp;&nbsp;&nbsp; if (counter%2 == 0)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; continue;</p>
<p>&nbsp;&nbsp;&nbsp; System.out.print(""*"");</p>
<p>}</p>
"
265,"
<p>Given the following Java class declaration:</p>
<pre lang=""text/x-java"">public class T2int
{
    private int i;

    public T2int()
    {
        i = 0;
    }

    public T2int(int i)
    {
        this.i = i;
    }

    public int get()
    {
        return i;
    }
}
</pre>
<p>&nbsp;</p>
<p>The following method, called <code>rangeSum()</code>, is intended to take three parameters: a <code>List</code> of <code>T2int</code> objects, plus the <code>low</code> and <code>high</code> end of a range within the list. The method computes the sum of the values in the <code>List</code> that are <strong>within</strong> the ""range"" (but <strong>not including</strong> the range end values). Choose the best choice to fill in the blank on <strong>Line 7</strong> so that the method will work as intended:</p>
<pre lang=""text/x-java"">public int rangeSum(List&lt;T2int&gt; list, int low, int high)
{
    int num = 0;                                 // Line 1
    int sum = 0;                                 // Line 2

    for (int idx = 0; idx &lt; list.size(); idx++)  // Line 3
    {
        int ival = list.get(idx).get();          // Line 4
        if (__________)                          // Line 5
        {
            num++;                               // Line 6
            sum = __________;                    // Line 7
        }
    }
    return __________;                           // Line 8
}
</pre>
"
266,"
<p>Consider the following Python code:</p>
<pre lang=""text/x-python"">number = int(input(""Enter a positive number: ""))
while number &gt; 1:
   if (number % 2 == 1):
      number = number * 3 + 1
   else:
      number = number/2
   print number
   if number == 1:
      break
   else:
      print ""The end""
</pre>
<p>&nbsp;</p>
<p>Given the input &rsquo;8&rsquo;, what output is produced by the program?</p>
"
267,"
<p>Chris implements a standard sorting algorithm that sorts the numbers 64, 25, 12, 22, 11 like so:</p>
<p>64 25 12 22 11</p>
<p>11 25 12 22 64</p>
<p>11 12 25 22 64</p>
<p>11 12 22 25 64</p>
<p>11 12 22 25 64</p>
<p><br>Which sorting algorithm is this?</p>
"
268,"
<p>If the following hierarchy of exception is defined by a user, which option is the correct order of catching these exceptions?</p>
<p>class firstLevelException extends Exception{}</p>
<p>class secondLevelException_1 extends firstLevelException{}</p>
<p>class secondLevelException_2 extends firstLevelException{}</p>
<p>class thirdLevelException extends secondLevelException_1{}</p>
"
269,"<p>You see the expression&nbsp;<code>n = 47<span style=""font-family: arial, helvetica, sans-serif;""> in some code that successfully compiles. What type can&nbsp;<code>n<span style=""font-family: arial, helvetica, sans-serif;""> not be</span></code></span></code>?<code><br></code></p>"
270,<p>Which sentence is NOT correct?</p>
271,"
<p>What would be the output?</p>
<p>public class test {</p>
<p>&nbsp;&nbsp;&nbsp; static int testCount = 0;</p>
<p>&nbsp;&nbsp;&nbsp; public test(){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; testCount ++;</p>
<p>&nbsp;&nbsp;&nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp; public static void main(String [] Args){</p>
<p>&nbsp;&nbsp; &nbsp; &nbsp;&nbsp; test t1 = new test();</p>
<p>&nbsp;&nbsp; &nbsp; &nbsp;&nbsp; System.out.println(t1.testCount);</p>
<p>&nbsp;&nbsp; &nbsp; &nbsp;&nbsp; test t2 = new test();</p>
<p>&nbsp;&nbsp; &nbsp; &nbsp;&nbsp; System.out.println(t1.testCount + "" ""+ t2.testCount);</p>
<p>&nbsp;&nbsp; &nbsp; &nbsp;&nbsp; test t3 = new test();</p>
<p>&nbsp;&nbsp; &nbsp; &nbsp;&nbsp; System.out.println(t1.testCount+ "" ""+ t2.testCount+ "" ""+ t3.testCount);</p>
<p>&nbsp;&nbsp; }</p>
<p>}</p>
"
272,"
<p>Consider the code below; what value will i have at the end?</p>
<p><br><code>int *p, i;</code></p>
<pre lang=""text/x-c""> i = 2;
 p = &amp;i;
 *p = 5;
 i++;
</pre>
"
273,"
<p>Lennox has a method:<br><code>void dele_root(struct node **root)</code></p>
<pre lang=""text/x-c"">{
    free(*root);
    *root = NULL;
}
</pre>
<p><br>What is most likely to happen?</p>
"
274,"
<p>Consider the code below; what value will i have at the end of the code?</p>
<p><br><code>int *p, i;</code></p>
<pre lang=""text/x-c""> i = 3;
 p = &amp;i;
 (*p)++;
 i++;
</pre>
"
275,"
<p>Consider the code below; fill in the table below of what values p and i will have at the end of the code.<br><code>int *p, i;</code></p>
<pre lang=""text/x-c""> i = 3;
 p = &amp;i;
 (*p)++;
 i++;
</pre>
<p>&nbsp;</p>
<table border=""1""><tbody>
<tr>
<td>Variable name</td>
<td>Variable's address</td>
<td>Variable's value</td>
</tr>
<tr>
<td>p</td>
<td>0x0000123abc</td>
<td>&nbsp;</td>
</tr>
<tr>
<td>i</td>
<td>0x567def0000</td>
<td>(withheld)</td>
</tr>
</tbody></table>"
276,"
<p>A compiler error existed in this code. Why is that happening?</p>
<p>public class test {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; static int testCount;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public int getCount(){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; return testCount;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public test(){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; testCount ++;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public static void main(String [] Args){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(getCount());</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
"
277,"
<p>The following method, called <code>maxRow()</code>, is intended to take one parameter: a <code>List</code> where the elements are <code>List</code>s of <code>Integer</code> objects. You can think of this parameter as a matrix--a list of rows, where each row is a list of ""cells"" (plain integers). The method sums up the integers in each row (each inner list), and returns the index (row number) of the row with the largest row sum. Choose the best choice to fill in the blank on <strong>Line 9</strong>&nbsp;so that this method works as intended:</p>
<pre lang=""text/x-java"">public static int maxRow(List&lt;List&lt;Integer&gt;&gt; matrix)
{
    int maxVec = -1;                                // Line 1
    int maxSum = Integer.MIN_VALUE;                 // Line 2

    for (int row = 0; row &lt; __________; row++)      // Line 3
    {
        int sum = 0;                                // Line 4
        for (int col = 0; col &lt; __________; col++)  // Line 5
        {
            sum = sum + __________;                 // Line 6
        }
        if (___________)                            // Line 7
        {
            maxSum = __________;                    // Line 8
            maxVec = __________;                    // Line 9
        }
    }
    return maxVec;                                  // Line 10
}
</pre>
"
278,"
<p>Consider the following classes:</p>
<pre lang=""text/x-java"">public class A
{
    private int myNum;
    public A(int x)            { myNum = x;    }
    public int getNumber()     { return myNum; }
    public String getLetters() { return ""A"";   }
    public String getMessage()
    {
        return getLetters() + ""-"" + getNumber();
    }
}

public class AB extends A
{
    public AB(int x)           { super(x + 1); }
    public int getNumber()     { return super.getNumber() + 1; }
    public String getLetters() { return ""AB"";  }
}
</pre>
<p>&nbsp;</p>
<p>What is the output of the following code segment?</p>
<p><br><code>A test = new AB(0);</code></p>
<code>System.out.print(test.getMessage());</code>
"
279,<p>Which data structure uses less space per object?</p>
280,<p>Which code snippet is tail recursive?</p>
281,"<p>When deleting a node with both left and right children from a binary search tree, it may be replaced by which of the following?</p>"
282,"
<p>Suppose you are writing a program for a robot that will go around a building and clean the floor. Your program will contain, among other things, a Robot class and a Building class (with information about the layout of the building). The Building class is also used in a different program for scheduling maintenance of various parts of the building.&nbsp;</p>
<p>The relationship between your Robot class and your Building class is best modeled as:</p>
"
283,<p>What is the worst-case time performance of heapsort?</p>
284,"
<p>What is output from the following section of code?</p>
<p>int i = 4;</p>
<p>int j = i - 1;</p>
<p>printf(""%d bows = %d wows"", i, j+1);</p>
"
285,"
<p>Read the following method skeleton and choose the best expression to fill in the blank on <strong>line 4</strong>&nbsp;so that the method will behave correctly:</p>
<pre lang=""text/x-java"">/**
* Takes a string reference and counts the number of times
* the character 'A' or 'a' appears in the string object.
* @param aString   String reference to object containing chars.
* @precondition    aString is not null (you may assume this is true).
* @return          The number of times 'A' or 'a' appears in the string.
*/
public static int countAs(String aString)  // line 1
{
    int counter = __________;              // line 2
    int totalA = 0;                        // line 3
    while (counter &lt; __________)           // line 4
    {
        if ( __________.equals(""A"") )      // line 5
        {
            totalA = totalA + __________;  // line 6
        }
        counter++;                         // line 7
    }
    return __________;                     // line 8
}
</pre>
"
286,"
<p>Consider the code<br>int i, *q, *p;<br>p = &amp;i;<br>q = p;<br>*p = 5;</p>
<p><br>Which of the following will print out &ldquo;The value is 5.&rdquo;?</p>
"
287,"<p>What order must elements 1, 2, 3, 4, 5, 6, and 7 be inserted in a binary search tree such that the tree is perfectly balanced afterward?</p>"
288,"
<p>Which algorithm does the following code implement?</p>
<p>def mystery(target, listOfValues):<br>&nbsp; &nbsp; &nbsp;beginning = 0<br>&nbsp; &nbsp; &nbsp;end = len(listOfValues)<br>&nbsp; &nbsp; &nbsp;found = False<br>&nbsp; &nbsp; &nbsp;while (! found and (beginning &lt;= end)):<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; middle = (beginning + end) / 2<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; if (listOfValues[middle] == target):<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;found = True<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;print ""Found it at location: "", middle<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; else:<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;if (target &lt; listOfValues[middle]):<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; end = middle -1<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;else:<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; beginning = middle + 1</p>
<p>&nbsp; &nbsp; &nbsp;if (! found):<br>&nbsp; &nbsp; &nbsp;print ""Item not found""</p>
"
289,<p>What abstract data type is best suited to help us implement a breadth-first search?</p>
290,"<p>This sorting algorithm repeatedly examines neighboring elements, swapping those pairs that are out of order.</p>"
291,<p>The enqueue operation:</p>
292,"<p>If Matthew is entering the values 1, 2, 3, 4, 5 into a complete tree, where insertion happens in level-order, in what order should he enter the values so he produces a binary search tree?</p>"
293,"
<p>Consider the following code:</p>
<pre lang=""text/x-java"">if (!somethingIsTrue())
{
    return true;
}
else
{
    return false;
}
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Which replacement for this code will produce the same result?</span></p>
"
294,"<p>You are storing a complete binary tree in an array, with the root at index 0. At what index is node i's right child?</p>"
295,<p>You've got a <code>byte</code> variable holding the value 127. You add 1 with <code>byte += 1</code>. What happens?</p>
296,<p>What is the size of the largest min-heap which is also a BST?</p>
297,<p>Which of the following is true about both interfaces and abstract classes?</p>
298,"
<p>Jacob has written some code using our standard linked list node definition (it has an <code>int val</code> and a <code>struct node *next</code>, in that order ):</p>
<p><br><code>struct node *my_node = malloc(sizeof(struct node));</code></p>
<pre lang=""text/x-c"">my_node-&gt;val = 4;
my_node-&gt;next = NULL;
struct node **ptr_node = &amp;my_node;
*(*ptr_node)++;
</pre>
<p><br>If the value of <code>my_node</code> is initially 0x50085008, what will the value of <code>my_node</code> most likely be after this code?</p>
"
299,<p>A coworker suggests that when you delete a node from a hashtable that you just set it to null. What is your response?</p>
300,"
<p>Suppose you are trying to choose between an array and a singly linked list to store the data in your program. Which data structure must be traversed one element at a time to reach a particular point?</p>
"
301,"
<p>Richard has the following struct:</p>
<p><br><code>struct node{</code></p>
<pre lang=""text/x-c"">    int val;
    struct node *next;
};
</pre>
<p><br>And he creates a node:<br><code>struct node **ptr = &amp;( malloc(sizeof(struct node)) );</code></p>
<p><span style=""font-family: arial,helvetica,sans-serif;"">Which of the following will NOT set ptr&rsquo;s associated val to 6?</span></p>
"
302,"
<p>Consider the following recursive method:</p>
<pre lang=""text/x-java"">public int examMethod(int n) {
   if (n == 1) return 1;
   else return (n + this.examMethod(n-1));
}
</pre>
<p>&nbsp;</p>
<p>What value is returned by the call <code>examMethod(16)</code>?</p>
"
303,<p>Suppose you place m items in a hash table with an&nbsp;array size of s. What is the correct formula for the load&nbsp;factor?</p>
304,"
<p>The <strong>Fibonacci sequence</strong> is 0, 1, 1, 2, 3, 5, 8, 13 ... Any term (value) of the sequence that follows the first two terms (0 and 1) is equal to the sum of the preceding two terms. Consider the following incomplete method to compute any term of the Fibonacci sequence:</p>
<pre lang=""text/x-java"">public static int fibonacci(int term)
{
    int fib1 = 0;          // Line 1
    int fib2 = 1;          // Line 2
    int fibn = 0;          // Line 3

    if (term == 1)         // Line 4
    {
        return fib1;       // Line 5
    }
    if (term == 2)         // Line 6
    {
        return fib2;       // Line 7
    }

    for (__________)       // Line 8: loop to the nth term
    {
        fibn = __________; // Line 9: compute the next term
        fib1 = __________; // Line 10: reset the second preceding term
        fib2 = __________; // Line 11: reset the immediate preceding term
    }
    return fibn;           // Line 12: return the computed term
}


<span style=""font-family: arial, helvetica, sans-serif;"">Choose the best answer to fill in the blank on line 8.
</span></pre>
"
305,"<p>Which of these relationships best exemplify the ""IS-A"" relationships in object-oriented programming (OOP)?</p>"
306,"
<p>What does this print when x is assigned 1?</p>
<pre lang=""text/x-java"">if (x==1) {
   System.out.println(""x is 1"");
} if (x==2) {
   System.out.println(""x is 2"");
} else {
   System.out.println(""not 1 or 2"");
}
</pre>
"
307,"<p>In C, which of the following will return 1, if s1 = ""hi"" and s2 = ""hi""? Circle all that apply.</p>"
308,<p>Inserting a node into a heap is</p>
309,"
<p>Consider the following Java method:</p>
<pre lang=""text/x-java"">public void printMenu(){
   System.out.println(""Choose one of the following options:"");
   System.out.println(""1) Display account balance"");
   System.out.println(""2) Make deposit"");
   System.out.println(""3) Make withdrawal"");
   System.out.println(""4) Quit"");
} 
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Select the best reason for making this a separate method with a name, instead of including the code in some other method:</span></p>
"
310,"<p>A given O(n<sup>2</sup>) algorithm takes five seconds to execute on a data set size of 100. &nbsp;Using the same computer and the same algorithm, how many seconds should this algorithm run for when executed on a data set of size 500?</p>"
311,"<p>If the StackADT operation <code>push</code> is implemented using a linked list, the big-Oh time complexity of the method is:</p>"
312,"
<p>Which line of the following code has a compilation error?</p>
<p>import java.util.*;</p>
<p>public class bicycles {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; public static void main(String[] Main) {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Vector&lt;bike&gt; q = new Vector();</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; bike b = new bike();</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; q.add(b);</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
<p>class bike{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; private int bikePrice;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; private bike(){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; bikePrice = 0;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; private bike(int p){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; bikePrice = p;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
"
313,"<p>After the assignments <code>a = True</code> and <code>b = True</code>, what is returned by <code>(not a or b) and (a or not b)</code>?</p>"
314,"
<p>Consider the following code:</p>
<pre lang=""text/x-python"">number = int(input(""Enter a positive number: ""))
while number &gt; 1:
   if (number % 2 == 1):
      number = number * 3 + 1
   else:
      number = number/2
   print number
   if number == 1:
      break
else:
   print ""The end""
</pre>
<p>&nbsp;</p>
<p>What output is produced when the input is '-1'?</p>
"
315,"
<p>3. Consider the following class definition.</p>
<pre lang=""text/x-java"">import java.util.Scanner;

public class SillyClass2 {
   private int num, totalRed, totalBlack;

   public SillyClass2 () {
      num = 0;
      totalRed = 0;
      totalBlack = 0;
      this.spinWheel();
      System.out.print(""Black: "" + totalBlack);
      System.out.println("" and red: "" + totalRed);
   }

   public void spinWheel () {
      Scanner kbd = new Scanner(System.in);
      System.out.println(""Enter 1 or 0, -1 to quit."");
      num = kbd.nextInt();
      while (num &gt;= 0) {
         if (num == 0)
            totalRed++;
         else if (num == 1)
            totalBlack++;
         else System.out.println(""Try again"");
         System.out.println(""Enter 1 or 0, -1 to quit)."");
         num = kbd.nextInt();
      }
      System.out.println(""Thanks for playing."");
   }
}
</pre>
<p>&nbsp;</p>
<p>Which of the following sequences of inputs causes every line of code to be executed at least once?</p>
"
316,"
<p>Suppose <code>StackADT</code> is implemented in Java using a linked list. The big-Oh time complexity of the following <code>peek</code> method is:&nbsp;</p>
<pre lang=""text/x-java"">public T peek() { 
   T tmp;
   if (this.top == null) {
      tmp = null; 
   } else {
      tmp = this.top.getElement(); 
   } 
   return tmp; 
} 
</pre>
"
317,"<p>You need to store a large amount of data, but you don't know the exact number of elements. The elements must&nbsp;be searched quickly by some key. You want to waste no storage space. The elements to be added are in sorted order. What is the simplest data structure that meets your needs?&nbsp;</p>"
318,<p>Which one of the following is a limitation of Java's arrays?</p>
319,"
<p>What will be printed?</p>
<p>String name = ""John"";</p>
<p>String surname = ""Smith"";</p>
<p>name.concat(surname);</p>
<p>System.out.print(name + "" "");</p>
<p>System.out.println(surname);</p>
"
320,"
<p>What should be done to change the following code to a correct one?</p>
<p>public class exam {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; float mark;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; public static void main(String[]arg){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; float aCopyofMark;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; exam e = new exam();</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; System.out.println( e.mark + aCopyofMark);</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
"
321,"
<p>Consider the following two simple Java classes:</p>
<pre lang=""text/x-java"">public class Base {
  protected int x;
}

public class Derived extends Base {
  protected int y;
}
</pre>
<p>&nbsp;</p>
<p>Which of the following is/are legal?</p>
"
322,"
<p>This question refers to a method ""swap"", for which part of the code is shown below:</p>
<p class=""MsoNormal""><code>public static void swap(int[] x, int i, int j) {</code></p>
<p class=""MsoNormal"">&nbsp;<span style=""font-family: Courier; layout-grid-mode: line;"">// swaps elements ""i"" and ""j"" of array ""x"".</span></p>
<p class=""MsoNormal""><span style=""font-family: Courier; layout-grid-mode: line;""><code>&nbsp;&nbsp;&nbsp; int temp;</code><span style=""mso-tab-count: 1;"">&nbsp;&nbsp;&nbsp;&nbsp; // temporary storage for swapping</span></span></p>
<p>&nbsp;<span style=""font-family: Courier; layout-grid-mode: line;"">&nbsp; </span></p>
<p class=""MsoNormal""><span style=""font-family: Courier; layout-grid-mode: line;""><span style=""mso-spacerun: yes;"">&nbsp;&nbsp;&nbsp; xxx missing code goes here xxx</span></span></p>
<p class=""MsoNormal""><code>} // method swap</code></p>
<p class=""MsoNormal"">&nbsp;</p>
<p class=""MsoNormal""><span style=""font-family: Courier; layout-grid-mode: line;"">The missing code from ""swap"" is:</span></p>
"
323,"
<p>Class B extends class A in which a method called firstMethod existed. The signature of firstMethod is as follow. In class B we are going to override firstMethod. Which declaration of this method in class B is correct?</p>
<p>protected void firstMethod(int firstVar)</p>
"
324,"
<p>You've got a class that holds two ints and that can be compared with other IntPair objects:</p>
<pre lang=""text/x-java"">class IntPair {
  private int a;
  private int b;
  
  public IntPair(int a, int b) {
    this.a = a;
    this.b = b;
  }
 
  public int compareTo(IntPair other) {
    if (a &lt; other.a) {
      return -1;
    } else if (a &gt; other.a) {
      return 1;
    } else {
      if (b == other.b) {
        return 0;
      } else if (b &gt; other.b) {
        return -1;
      } else {
        return 1;
      }
    }
  }
}
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Let's denote new IntPair(5, 7) as [5 7]. You've got a list of IntPairs:</span></p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">[5 7], [2 9], [3 2]</span></p>
<p>You sort them using IntPair.compareTo. What is their sorted order?</p>
"
325,"
<p>What does the following Java code print?</p>
<pre lang=""text/x-java"">int inner=0;
int outer=0;
for (int i=0; i&lt;6; i++) {
   outer++;
   for (int j=0; j&lt;=3; j++) {
      inner++;
   }
}
System.out.println(""outer ""+outer+"", inner""+inner);
</pre>
"
326,"<p>After the assignments <code>x = 27</code> and <code>y = 12</code>, what is returned by<code> x/y</code>?&nbsp; (Assume Python &lt;= 2.7, not Python3).</p>"
327,<p>Which of the following is not an ADT?</p>
